issue_id,project,worklog_id,person,component,component_description,time_spent,date,time
34,CIT - FS,28394,jhoule,fileserver,tool/service,1,2/16/17,6:48:00
34,CIT - FS,28394,jhoule,sun_systems,tool/service,1,2/16/17,6:48:00
35,CIT - FS,28636,jevans,functional,type of work,0.25,3/3/17,4:22:00
35,CIT - FS,28636,jevans,redthree,tool/service,0.25,3/3/17,4:22:00
35,CIT - Systems,28012,sblack,key_result,tickets that relate to a specific personal key result,2,1/13/17,6:40:00
36,CIT - FS,28377,scarnes,break/fix,type of work,0.5,2/14/17,6:53:00
36,CIT - FS,28377,scarnes,coupa,tool/service,0.5,2/14/17,6:53:00
37,CIT - FS,27904,mpuello,functional,type of work,0.166666667,1/11/17,4:56:00
37,CIT - FS,27904,mpuello,sun_netting,tool/service,0.166666667,1/11/17,4:56:00
37,CIT - FS,27904,mpuello,user_management,"theme; any work done to update, delete, or change users of a system in any way",0.166666667,1/11/17,4:56:00
38,CIT - FS,28161,jevans,functional,type of work,0.5,1/26/17,3:49:00
38,CIT - FS,28161,jevans,sun_netting,tool/service,0.5,1/26/17,3:49:00
39,CIT - FS,27903,mpuello,functional,type of work,0.166666667,1/11/17,4:55:00
39,CIT - FS,27903,mpuello,sun_netting,tool/service,0.166666667,1/11/17,4:55:00
39,CIT - FS,27903,mpuello,user_management,"theme; any work done to update, delete, or change users of a system in any way",0.166666667,1/11/17,4:55:00
39,CIT - FS,28202,mpuello,functional,type of work,0.25,1/30/17,7:17:00
39,CIT - FS,28202,mpuello,sun_netting,tool/service,0.25,1/30/17,7:17:00
39,CIT - FS,28202,mpuello,user_management,"theme; any work done to update, delete, or change users of a system in any way",0.25,1/30/17,7:17:00
40,CIT - FS,28301,kyang,functional,type of work,0.2,2/7/17,4:20:00
40,CIT - FS,28301,kyang,redthree,tool/service,0.2,2/7/17,4:20:00
40,CIT - FS,28301,kyang,user_management,"theme; any work done to update, delete, or change users of a system in any way",0.2,2/7/17,4:20:00
40,CIT - FS,28404,kyang,functional,type of work,0.1,2/17/17,8:31:00
40,CIT - FS,28404,kyang,redthree,tool/service,0.1,2/17/17,8:31:00
40,CIT - FS,28404,kyang,user_management,"theme; any work done to update, delete, or change users of a system in any way",0.1,2/17/17,8:31:00
41,CIT - FS,27915,jhoule,functional,type of work,0.166666667,1/12/17,2:07:00
41,CIT - FS,27915,jhoule,redthree,tool/service,0.166666667,1/12/17,2:07:00
41,CIT - FS,27915,jhoule,user_management,"theme; any work done to update, delete, or change users of a system in any way",0.166666667,1/12/17,2:07:00
41,CIT - FS,28014,jhoule,functional,type of work,0.166666667,1/13/17,7:28:00
41,CIT - FS,28014,jhoule,redthree,tool/service,0.166666667,1/13/17,7:28:00
41,CIT - FS,28014,jhoule,user_management,"theme; any work done to update, delete, or change users of a system in any way",0.166666667,1/13/17,7:28:00
42,CIT - Application Projects,30505,sblack,functional,type of work,0.016666667,6/13/17,7:54:00
42,CIT - Application Projects,30505,sblack,vidyo,tool/service,0.016666667,6/13/17,7:54:00
42,CIT - FS,28254,jhoule,functional,type of work,0.25,2/2/17,8:05:00
42,CIT - FS,28254,jhoule,redthree,tool/service,0.25,2/2/17,8:05:00
43,CIT - Application Projects,27766,jevans,cloud_maintenance,"theme; anything related to managing our servers (deleasing, etc.)",8,1/3/17,4:59:00
43,CIT - Application Projects,27766,jevans,functional,type of work,8,1/3/17,4:59:00
43,CIT - Application Projects,27766,jevans,security,theme; all things security related (not including physical security systems),8,1/3/17,4:59:00
43,CIT - FS,28055,jevans,break/fix,type of work,0.25,1/18/17,9:37:00
43,CIT - FS,28055,jevans,redthree,tool/service,0.25,1/18/17,9:37:00
43,CIT - FS,28055,jevans,vertica,tool/service,0.25,1/18/17,9:37:00
44,CIT - FS,28531,jhoule,functional,type of work,0.166666667,2/22/17,3:57:00
44,CIT - FS,28531,jhoule,svb,tool/service,0.166666667,2/22/17,3:57:00
45,CIT - FS,28256,jevans,functional,type of work,0.5,2/2/17,9:29:00
45,CIT - FS,28256,jevans,sql,tool/service,0.5,2/2/17,9:29:00
45,CIT - FS,28256,jevans,talend,tool/service,0.5,2/2/17,9:29:00
46,CIT - FS,28244,jhoule,break/fix,type of work,1.5,2/1/17,9:02:00
46,CIT - FS,28244,jhoule,bsg,tool/service,1.5,2/1/17,9:02:00
46,CIT - FS,28244,jhoule,coupa,tool/service,1.5,2/1/17,9:02:00
47,CIT - FS,27902,mpuello,functional,type of work,0.333333333,1/11/17,4:53:00
47,CIT - FS,27902,mpuello,sun_systems,tool/service,0.333333333,1/11/17,4:53:00
48,CIT - FS,29745,jevans,functional,type of work,0.5,5/1/17,6:57:00
48,CIT - FS,29745,jevans,svb,tool/service,0.5,5/1/17,6:57:00
48,CIT - FS,30176,jhoule,functional,type of work,2,5/22/17,7:56:00
48,CIT - FS,30176,jhoule,svb,tool/service,2,5/22/17,7:56:00
49,CIT - FS,28808,mpuello,break/fix,type of work,0.333333333,3/7/17,9:16:00
49,CIT - FS,28808,mpuello,sun_systems,tool/service,0.333333333,3/7/17,9:16:00
49,CIT - FS,28808,mpuello,windows,tool/service,0.333333333,3/7/17,9:16:00
50,CIT - FS,28980,jhoule,functional,type of work,0.333333333,3/17/17,2:01:00
50,CIT - FS,28980,jhoule,sun_netting,tool/service,0.333333333,3/17/17,2:01:00
51,CIT - FS,29015,jevans,functional,type of work,0.25,3/21/17,2:01:00
51,CIT - FS,29015,jevans,sun_systems,tool/service,0.25,3/21/17,2:01:00
52,CIT - FS,28971,jhoule,functional,type of work,0.25,3/16/17,4:44:00
52,CIT - FS,28971,jhoule,redthree,tool/service,0.25,3/16/17,4:44:00
53,CIT - FS,29019,jhoule,break/fix,type of work,1.5,3/21/17,3:16:00
53,CIT - FS,29019,jhoule,ion,tool/service,1.5,3/21/17,3:16:00
54,CIT - FS,29180,jhoule,functional,type of work,0.5,4/3/17,10:53:00
54,CIT - FS,29180,jhoule,sun_atlas,tool/service,0.5,4/3/17,10:53:00
55,CIT - FS,29208,mpuello,functional,type of work,0.083333333,4/6/17,3:39:00
55,CIT - FS,29208,mpuello,sun_atlas,tool/service,0.083333333,4/6/17,3:39:00
56,CIT - FS,29149,mpuello,drt_data,tool/service,0.5,3/31/17,8:32:00
56,CIT - FS,29149,mpuello,functional,type of work,0.5,3/31/17,8:32:00
56,CIT - FS,29149,mpuello,user_management,"theme; any work done to update, delete, or change users of a system in any way",0.5,3/31/17,8:32:00
57,CIT - FS,29148,mpuello,active_directory,tool/service,1,3/31/17,8:30:00
57,CIT - FS,29148,mpuello,functional,type of work,1,3/31/17,8:30:00
57,CIT - FS,29148,mpuello,talend,tool/service,1,3/31/17,8:30:00
59,CIT - FS,29186,jhoule,functional,type of work,0.083333333,4/4/17,6:16:00
59,CIT - FS,29186,jhoule,windows,tool/service,0.083333333,4/4/17,6:16:00
60,CIT - FS,29255,jhoule,functional,type of work,0.25,4/7/17,4:53:00
60,CIT - FS,29255,jhoule,networking,tool/service,0.25,4/7/17,4:53:00
61,CIT - FS,29349,jhoule,functional,type of work,0.166666667,4/14/17,1:36:00
61,CIT - FS,29349,jhoule,sun_atlas,tool/service,0.166666667,4/14/17,1:36:00
61,CIT - FS,29349,jhoule,user_management,"theme; any work done to update, delete, or change users of a system in any way",0.166666667,4/14/17,1:36:00
62,CIT - FS,29311,jhoule,functional,type of work,0.166666667,4/11/17,9:26:00
62,CIT - FS,29311,jhoule,sun_systems,tool/service,0.166666667,4/11/17,9:26:00
62,CIT - FS,29311,jhoule,user_management,"theme; any work done to update, delete, or change users of a system in any way",0.166666667,4/11/17,9:26:00
63,CIT - FS,29528,jevans,functional,type of work,1,4/19/17,8:09:00
63,CIT - FS,29528,jevans,vertica,tool/service,1,4/19/17,8:09:00
64,CIT - FS,29357,jevans,break/fix,type of work,0.25,4/14/17,3:49:00
64,CIT - FS,29357,jevans,ssrs,tool/service,0.25,4/14/17,3:49:00
65,CIT - FS,29560,mpuello,functional,type of work,0.25,4/21/17,2:55:00
65,CIT - FS,29560,mpuello,sql_scripts,tool/service,0.25,4/21/17,2:55:00
65,CIT - FS,29560,mpuello,sun_systems,tool/service,0.25,4/21/17,2:55:00
66,CIT - FS,29779,jhoule,break/fix,type of work,0.333333333,5/2/17,10:00:00
66,CIT - FS,29779,jhoule,vertica,tool/service,0.333333333,5/2/17,10:00:00
67,CIT - FS,30243,jevans,functional,type of work,1,5/25/17,9:57:00
67,CIT - FS,30243,jevans,svb,tool/service,1,5/25/17,9:57:00
68,CIT - FS,29599,jhoule,functional,type of work,0.25,4/25/17,12:16:00
68,CIT - FS,29599,jhoule,sql,tool/service,0.25,4/25/17,12:16:00
68,CIT - FS,29599,jhoule,user_management,"theme; any work done to update, delete, or change users of a system in any way",0.25,4/25/17,12:16:00
69,CIT - FS,30350,jevans,data_refresh,tool/service,3,6/5/17,2:38:00
69,CIT - FS,30350,jevans,functional,type of work,3,6/5/17,2:38:00
69,CIT - FS,30351,mpuello,data_refresh,tool/service,9,6/5/17,2:41:00
69,CIT - FS,30351,mpuello,functional,type of work,9,6/5/17,2:41:00
70,CIT - FS,29600,mpuello,break/fix,type of work,0.333333333,4/25/17,3:35:00
70,CIT - FS,29600,mpuello,sql,tool/service,0.333333333,4/25/17,3:35:00
70,CIT - FS,29600,mpuello,sun_systems,tool/service,0.333333333,4/25/17,3:35:00
72,CIT - FS,29739,jevans,functional,type of work,0.25,5/1/17,2:14:00
72,CIT - FS,29739,jevans,sun_atlas,tool/service,0.25,5/1/17,2:14:00
72,CIT - Global Infrastructure,31260,tpenn,functional,type of work,0.75,7/24/17,4:57:00
72,CIT - Global Infrastructure,31260,tpenn,geist,tool/service,0.75,7/24/17,4:57:00
72,CIT - Global Infrastructure,31263,tpenn,functional,type of work,0.5,7/24/17,6:13:00
72,CIT - Global Infrastructure,31263,tpenn,geist,tool/service,0.5,7/24/17,6:13:00
72,CIT - Global Infrastructure,31366,tpenn,functional,type of work,0.25,7/31/17,7:48:00
72,CIT - Global Infrastructure,31366,tpenn,geist,tool/service,0.25,7/31/17,7:48:00
73,CIT - FS,29959,jhoule,cheq_xpress,tool/service,0.583333333,5/10/17,5:39:00
73,CIT - FS,29959,jhoule,functional,type of work,0.583333333,5/10/17,5:39:00
73,CIT - FS,30022,mpuello,cheq_xpress,tool/service,1,5/12/17,8:07:00
73,CIT - FS,30022,mpuello,functional,type of work,1,5/12/17,8:07:00
74,CIT - FS,29925,jevans,functional,type of work,0.5,5/9/17,1:57:00
74,CIT - FS,29925,jevans,pmqa,tool/service,0.5,5/9/17,1:57:00
75,CIT - FS,29746,jevans,fileserver,tool/service,15,5/1/17,7:44:00
75,CIT - FS,29746,jevans,functional,type of work,15,5/1/17,7:44:00
75,CIT - FS,29746,jevans,user_management,"theme; any work done to update, delete, or change users of a system in any way",15,5/1/17,7:44:00
76,CIT - FS,29767,jevans,functional,type of work,0.25,5/2/17,4:05:00
76,CIT - FS,29767,jevans,redthree,tool/service,0.25,5/2/17,4:05:00
76,CIT - FS,30080,jhoule,functional,type of work,0.083333333,5/16/17,5:20:00
76,CIT - FS,30080,jhoule,redthree,tool/service,0.083333333,5/16/17,5:20:00
77,CIT - FS,30004,mpuello,coupa_reporting,tool/service,0.166666667,5/12/17,2:17:00
77,CIT - FS,30004,mpuello,functional,type of work,0.166666667,5/12/17,2:17:00
77,CIT - FS,30004,mpuello,redthree,tool/service,0.166666667,5/12/17,2:17:00
77,CIT - FS,30004,mpuello,user_management,"theme; any work done to update, delete, or change users of a system in any way",0.166666667,5/12/17,2:17:00
78,CIT - FS,30098,jhoule,functional,type of work,0.5,5/17/17,2:38:00
78,CIT - FS,30098,jhoule,sql_scripts,tool/service,0.5,5/17/17,2:38:00
78,CIT - FS,30098,jhoule,sun_systems,tool/service,0.5,5/17/17,2:38:00
79,CIT - FS,31212,jhoule,break/fix,type of work,0.5,7/20/17,4:39:00
79,CIT - FS,31212,jhoule,security,theme; all things security related (not including physical security systems),0.5,7/20/17,4:39:00
80,CIT - FS,30048,jhoule,coupa_reporting,tool/service,0.166666667,5/15/17,7:18:00
80,CIT - FS,30048,jhoule,functional,type of work,0.166666667,5/15/17,7:18:00
81,CIT - FS,30346,mpuello,drt_data,tool/service,0.25,6/5/17,2:13:00
81,CIT - FS,30346,mpuello,functional,type of work,0.25,6/5/17,2:13:00
81,CIT - FS,30346,mpuello,redthree,tool/service,0.25,6/5/17,2:13:00
81,CIT - FS,30346,mpuello,user_management,"theme; any work done to update, delete, or change users of a system in any way",0.25,6/5/17,2:13:00
82,CIT - FS,30013,jhoule,break/fix,type of work,0.5,5/12/17,4:46:00
82,CIT - FS,30013,jhoule,cheq_xpress,tool/service,0.5,5/12/17,4:46:00
83,CIT - FS,30058,jevans,functional,type of work,0.25,5/15/17,8:15:00
83,CIT - FS,30058,jevans,redthree,tool/service,0.25,5/15/17,8:15:00
84,CIT - FS,30345,mpuello,active_directory,tool/service,0.416666667,6/5/17,2:12:00
84,CIT - FS,30345,mpuello,drt_data,tool/service,0.416666667,6/5/17,2:12:00
84,CIT - FS,30345,mpuello,functional,type of work,0.416666667,6/5/17,2:12:00
84,CIT - FS,30345,mpuello,user_management,"theme; any work done to update, delete, or change users of a system in any way",0.416666667,6/5/17,2:12:00
85,CIT - FS,30114,jhoule,drt_data,tool/service,0.333333333,5/17/17,6:24:00
85,CIT - FS,30114,jhoule,functional,type of work,0.333333333,5/17/17,6:24:00
85,CIT - FS,30114,jhoule,redthree,tool/service,0.333333333,5/17/17,6:24:00
85,CIT - FS,30114,jhoule,user_management,"theme; any work done to update, delete, or change users of a system in any way",0.333333333,5/17/17,6:24:00
86,CIT - FS,30212,jhoule,functional,type of work,0.333333333,5/24/17,3:24:00
86,CIT - FS,30212,jhoule,security,theme; all things security related (not including physical security systems),0.333333333,5/24/17,3:24:00
86,CIT - FS,30212,jhoule,svb,tool/service,0.333333333,5/24/17,3:24:00
87,CIT - FS,30112,jhoule,functional,type of work,0.333333333,5/17/17,6:22:00
87,CIT - FS,30112,jhoule,redthree,tool/service,0.333333333,5/17/17,6:22:00
88,CIT - FS,31316,jhoule,functional,type of work,4,7/27/17,2:53:00
88,CIT - FS,31316,jhoule,networking,tool/service,4,7/27/17,2:53:00
88,CIT - FS,31316,jhoule,sun_systems,tool/service,4,7/27/17,2:53:00
89,CIT - FS,30888,jhoule,functional,type of work,1,7/6/17,12:22:00
89,CIT - FS,30888,jhoule,sql,tool/service,1,7/6/17,12:22:00
90,CIT - FS,30294,jevans,active_directory,tool/service,1,6/1/17,2:56:00
90,CIT - FS,30294,jevans,functional,type of work,1,6/1/17,2:56:00
90,CIT - FS,30294,jevans,svb,tool/service,1,6/1/17,2:56:00
91,CIT - FS,30322,mpuello,functional,type of work,0.5,6/2/17,3:49:00
91,CIT - FS,30322,mpuello,sun_atlas,tool/service,0.5,6/2/17,3:49:00
92,CIT - FS,30230,jevans,break/fix,type of work,8,5/25/17,2:42:00
92,CIT - FS,30230,jevans,sun_systems,tool/service,8,5/25/17,2:42:00
92,CIT - FS,30302,jevans,break/fix,type of work,8,6/1/17,5:47:00
92,CIT - FS,30302,jevans,sun_systems,tool/service,8,6/1/17,5:47:00
93,CIT - FS,30344,mpuello,functional,type of work,0.333333333,6/5/17,1:57:00
93,CIT - FS,30344,mpuello,sun_netting,tool/service,0.333333333,6/5/17,1:57:00
94,CIT - FS,30323,mpuello,bsg,tool/service,0.333333333,6/2/17,4:36:00
94,CIT - FS,30323,mpuello,functional,type of work,0.333333333,6/2/17,4:36:00
95,CIT - FS,30321,mpuello,functional,type of work,0.25,6/2/17,3:20:00
95,CIT - FS,30321,mpuello,redthree,tool/service,0.25,6/2/17,3:20:00
95,CIT - FS,30381,jevans,functional,type of work,0.25,6/6/17,2:10:00
95,CIT - FS,30381,jevans,redthree,tool/service,0.25,6/6/17,2:10:00
96,CIT - FS,30476,jevans,functional,type of work,3,6/12/17,4:50:00
96,CIT - FS,30476,jevans,svb,tool/service,3,6/12/17,4:50:00
97,CIT - FS,30422,jevans,active_directory,tool/service,0.25,6/7/17,8:41:00
97,CIT - FS,30422,jevans,functional,type of work,0.25,6/7/17,8:41:00
97,CIT - FS,30422,jevans,user_management,"theme; any work done to update, delete, or change users of a system in any way",0.25,6/7/17,8:41:00
97,CIT - FS,30426,jevans,active_directory,tool/service,1,6/7/17,9:07:00
97,CIT - FS,30426,jevans,functional,type of work,1,6/7/17,9:07:00
97,CIT - FS,30426,jevans,user_management,"theme; any work done to update, delete, or change users of a system in any way",1,6/7/17,9:07:00
98,CIT - FS,30402,jevans,functional,type of work,0.25,6/6/17,7:39:00
99,CIT - FS,30409,jevans,question,type of work; tickets where a person just needs an explanation on how to use systems as they already exist. should NOT be used on tickets where there is actual work being done or requests being fulfilled.,0.25,6/7/17,2:00:00
99,CIT - FS,30409,jevans,sql,tool/service,0.25,6/7/17,2:00:00
100,CIT - FS,30413,jevans,functional,type of work,0.25,6/7/17,4:32:00
100,CIT - FS,30413,jevans,prf,tool/service,0.25,6/7/17,4:32:00
102,CIT - FS,30433,jevans,functional,type of work,0.5,6/8/17,7:09:00
102,CIT - FS,30433,jevans,prf,tool/service,0.5,6/8/17,7:09:00
102,CIT - FS,30433,jevans,svb,tool/service,0.5,6/8/17,7:09:00
103,CIT - FS,30437,jevans,functional,type of work,0.25,6/8/17,8:56:00
103,CIT - FS,30437,jevans,prf,tool/service,0.25,6/8/17,8:56:00
104,CIT - FS,30456,jevans,functional,type of work,0.25,6/9/17,7:17:00
104,CIT - FS,30456,jevans,rds,tool/service,0.25,6/9/17,7:17:00
105,CIT - FS,30810,mpuello,data_refresh,tool/service,7,6/28/17,10:13:00
105,CIT - FS,30810,mpuello,functional,type of work,7,6/28/17,10:13:00
105,CIT - FS,30810,mpuello,sql,tool/service,7,6/28/17,10:13:00
105,CIT - FS,30810,mpuello,windows,tool/service,7,6/28/17,10:13:00
106,CIT - FS,31346,mpuello,active_directory,tool/service,0.25,7/28/17,5:01:00
106,CIT - FS,31346,mpuello,drt_data,tool/service,0.25,7/28/17,5:01:00
106,CIT - FS,31346,mpuello,functional,type of work,0.25,7/28/17,5:01:00
106,CIT - FS,31346,mpuello,user_management,"theme; any work done to update, delete, or change users of a system in any way",0.25,7/28/17,5:01:00
107,CIT - Application Projects,30828,kyang,corp_wiki,"tool/service; corpwiki.appnexus.com, to be used in conjunction with public_wiki if general Confluence work is being done",0.166666667,6/29/17,7:01:00
107,CIT - Application Projects,30828,kyang,functional,type of work,0.166666667,6/29/17,7:01:00
107,CIT - FS,31347,mpuello,active_directory,tool/service,0.25,7/28/17,5:02:00
107,CIT - FS,31347,mpuello,drt_data,tool/service,0.25,7/28/17,5:02:00
107,CIT - FS,31347,mpuello,functional,type of work,0.25,7/28/17,5:02:00
107,CIT - FS,31347,mpuello,user_management,"theme; any work done to update, delete, or change users of a system in any way",0.25,7/28/17,5:02:00
108,CIT - FS,30571,jevans,functional,type of work,0.25,6/14/17,9:01:00
108,CIT - FS,30571,jevans,sql,tool/service,0.25,6/14/17,9:01:00
109,CIT - FS,30669,jhoule,active_directory,tool/service,0.5,6/20/17,6:25:00
109,CIT - FS,30669,jhoule,functional,type of work,0.5,6/20/17,6:25:00
109,CIT - FS,30669,jhoule,prf,tool/service,0.5,6/20/17,6:25:00
109,CIT - FS,30669,jhoule,user_management,"theme; any work done to update, delete, or change users of a system in any way",0.5,6/20/17,6:25:00
110,CIT - DevOps,28203,ysaxena,drt_data,tool/service,2,1/30/17,7:36:00
110,CIT - DevOps,28203,ysaxena,exchange,tool/service,2,1/30/17,7:36:00
110,CIT - DevOps,28203,ysaxena,functional,type of work,2,1/30/17,7:36:00
110,CIT - Systems,30524,sblack,functional,type of work,0.016666667,6/13/17,8:29:00
111,CIT - FS,30809,mpuello,functional,type of work,0.333333333,6/28/17,10:12:00
111,CIT - FS,30809,mpuello,sql_scripts,tool/service,0.333333333,6/28/17,10:12:00
111,CIT - FS,30809,mpuello,windows,tool/service,0.333333333,6/28/17,10:12:00
112,CIT - FS,30711,mpuello,functional,type of work,0.016666667,6/22/17,2:29:00
112,CIT - FS,30711,mpuello,sql_scripts,tool/service,0.016666667,6/22/17,2:29:00
112,CIT - FS,30711,mpuello,windows,tool/service,0.016666667,6/22/17,2:29:00
113,CIT - DevOps,30493,ysaxena,functional,type of work,2,6/13/17,5:09:00
113,CIT - DevOps,30493,ysaxena,jh_pwd_api,tool/service,2,6/13/17,5:09:00
114,CIT - FS,30839,jhoule,functional,type of work,1,6/30/17,3:38:00
114,CIT - FS,30839,jhoule,sun_atlas,tool/service,1,6/30/17,3:38:00
115,CIT - FS,31023,jevans,fileserver,tool/service,0.25,7/7/17,6:57:00
115,CIT - FS,31023,jevans,functional,type of work,0.25,7/7/17,6:57:00
116,CIT - FS,31026,jevans,functional,type of work,2,7/7/17,7:56:00
116,CIT - FS,31026,jevans,ssrs,tool/service,2,7/7/17,7:56:00
117,CIT - FS,31022,jevans,fileserver,tool/service,0.25,7/7/17,6:57:00
117,CIT - FS,31022,jevans,functional,type of work,0.25,7/7/17,6:57:00
118,CIT - FS,30925,jevans,functional,type of work,0.25,7/6/17,8:50:00
118,CIT - FS,30925,jevans,redthree,tool/service,0.25,7/6/17,8:50:00
119,CIT - FS,31080,jevans,functional,type of work,0.25,7/12/17,2:58:00
119,CIT - FS,31080,jevans,sql,tool/service,0.25,7/12/17,2:58:00
120,CIT - FS,31030,jevans,functional,type of work,1,7/7/17,9:15:00
120,CIT - FS,31030,jevans,prf,tool/service,1,7/7/17,9:15:00
121,CIT - FS,31086,mpuello,functional,type of work,12,7/12/17,6:29:00
121,CIT - FS,31086,mpuello,sql_scripts,tool/service,12,7/12/17,6:29:00
121,CIT - FS,31086,mpuello,windows,tool/service,12,7/12/17,6:29:00
121,CIT - Systems,30531,sblack,functional,type of work,0.016666667,6/13/17,8:37:00
121,CIT - Systems,30531,sblack,rt,tool/service,0.016666667,6/13/17,8:37:00
121,CIT - Systems,30531,sblack,salesforce,tool/service,0.016666667,6/13/17,8:37:00
122,CIT - Application Projects,30551,jhoule,envoy,tool/service,1,6/14/17,5:35:00
122,CIT - Application Projects,30551,jhoule,functional,type of work,1,6/14/17,5:35:00
122,CIT - Systems,30532,sblack,functional,type of work,0.016666667,6/13/17,8:37:00
122,CIT - Systems,30532,sblack,rt,tool/service,0.016666667,6/13/17,8:37:00
122,CIT - Systems,30532,sblack,salesforce,tool/service,0.016666667,6/13/17,8:37:00
123,CIT - FS,31164,mpuello,functional,type of work,5,7/18/17,3:07:00
123,CIT - FS,31164,mpuello,windows,tool/service,5,7/18/17,3:07:00
123,CIT - Systems,30533,sblack,functional,type of work,0.016666667,6/13/17,8:37:00
123,CIT - Systems,30533,sblack,rt,tool/service,0.016666667,6/13/17,8:37:00
123,CIT - Systems,30533,sblack,salesforce,tool/service,0.016666667,6/13/17,8:37:00
124,CIT - FS,31115,mpuello,functional,type of work,0.333333333,7/14/17,8:59:00
124,CIT - FS,31115,mpuello,windows,tool/service,0.333333333,7/14/17,8:59:00
124,CIT - Systems,30534,sblack,functional,type of work,0.016666667,6/13/17,8:38:00
124,CIT - Systems,30534,sblack,rt,tool/service,0.016666667,6/13/17,8:38:00
124,CIT - Systems,30534,sblack,salesforce,tool/service,0.016666667,6/13/17,8:38:00
125,CIT - FS,31123,jevans,bsg,tool/service,1,7/17/17,3:44:00
125,CIT - FS,31123,jevans,functional,type of work,1,7/17/17,3:44:00
126,CIT - FS,31364,mpuello,data_refresh,tool/service,5,7/31/17,5:49:00
126,CIT - FS,31364,mpuello,functional,type of work,5,7/31/17,5:49:00
127,CIT - FS,31363,mpuello,data_refresh,tool/service,5,7/31/17,5:48:00
